ASIN,REVIEWER_ID,REVIEWER_NAME,HELPFUL,REVIEW_TEXT,OVERALL,REVIEW_SUMMARY,UNIX_TIME,REVIEW_TIME
1,2v8qucm9,Miss Dessie Farrell,"['24','2]",Sed enim sunt deleniti. At velit in in ab quia rem hic mollitia pariatur.,3,Lebanese Pound Principal paradigm program,1171811216,"71 51, 5318"
2,2afklw4y,Annie Oberbrunner,"['54','8]",Distinctio eum id sint odio eum. Excepturi quia ratione sapiente non ab facere qui provident. Ab quo debitis quae at fugiat blanditiis quibusdam. Sed dignissimos delectus quidem qui doloribus qui in quia minima.,4,vortals parallelism parse multi-byte,849707071,"34 04, 2730"
3,7eys0mm3,Lionel Skiles,"['0','1]",Ut ut nihil accusantium. Provident qui nobis porro neque et quis distinctio odio voluptatem. Quia aspernatur aut ducimus assumenda soluta veritatis non ad. Nihil exercitationem possimus et libero autem.,1,Brand Berkshire azure Refined Steel Chicken,346738699,"75 09, 5813"
4,q6vxffno,Nasir Smitham,"['36','0]",Perspiciatis at perspiciatis magnam.,5,Kids Rustic programming product,1154499869,"69 26, 4413"
5,2ma8w51i,Willie Brakus,"['44','9]",Voluptate atque voluptate soluta dolorem ex.,3,South Africa transmitting copying driver,1006183346,"64 05, 5840"
6,w3pp407k,Daphney Simonis,"['20','1]","Iste doloremque quis assumenda sint autem ut. Dolores labore fuga eos. Vero accusamus ducimus sit vel similique. Labore laboriosam rem dolorem accusamus quis repudiandae laudantium.
 Aut a minus est. Alias quo aut inventore nemo cumque suscipit doloremque aspernatur quo. Maiores et illo ducimus odit sed debitis porro reprehenderit. Blanditiis reiciendis dolorum.
 Omnis placeat voluptas sit architecto eaque enim praesentium rerum. Mollitia inventore sequi et aut sequi provident. Est cupiditate unde velit repellat fugit. Quis odio quasi dignissimos omnis. Corrupti omnis quae dicta quia distinctio provident. Voluptatem deserunt sint id asperiores tempore architecto illum.",1,Intelligent Metal Chips Avon Azerbaijan Cambridgeshire,816402056,"49 85, 8997"
7,7kav5ej1,Tatum Harris,"['18','3]","Modi accusantium in provident error doloribus vitae harum vitae. Quaerat mollitia autem autem enim. Perspiciatis aliquam libero id doloremque. Ducimus necessitatibus ea incidunt sit rerum aut. Voluptatibus doloremque assumenda id dolores quaerat nihil sint dolore impedit.
 Ducimus assumenda autem enim autem in occaecati. Velit rerum voluptatem inventore maiores voluptas est ut est. Corporis sequi et aut culpa deserunt commodi aspernatur quo saepe.
 Est temporibus aut voluptas. In aut aliquam unde molestias ut nihil sit facilis id. Aut temporibus saepe. Sint excepturi saepe rerum ea. Doloremque cum rerum. Debitis eum suscipit consequuntur doloribus nobis.",4,Solutions Unbranded lavender innovative,824244567,"30 62, 9446"
8,dsvgkmmu,Rhett Jenkins,"['49','9]",Distinctio sint harum sint deleniti illum. Esse id natus provident non nobis. Occaecati sequi aut. Voluptatem sint et maxime explicabo natus. Qui perferendis sequi quia molestiae voluptates unde incidunt. Et rerum quidem sit exercitationem.,1,infrastructure Indian Rupee Frozen Tools,1034291346,"92 68, 5018"
9,7g2tol81,Florencio Macejkovic,"['7','8]",Est aliquid voluptate ipsum. Sequi natus similique eveniet hic ullam cumque ab non autem. Quos incidunt voluptatem non nemo beatae aut est. Dolorem cum quia rem autem provident. Aperiam culpa perspiciatis ipsam in. Itaque rerum sint eos praesentium voluptatem ratione alias.,0,Palladium Keyboard gold process improvement,1191849461,"02 65, 2579"
10,76airu48,Madie Jenkins,"['99','0]",Nam sint qui doloribus itaque dicta saepe laudantium ipsum. Accusantium asperiores voluptates voluptatibus non minima culpa earum.,4,magenta Corporate Mozambique Yuan Renminbi,442901299,"62 76, 1966"
